Bookmark
Bookmark this report: https://irmadev.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Traffic%20Counts%20(1985%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,TrafficCounter,Year,Month,TrafficCount,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionType,TrafficCountTotal,YearTotal,TrafficCountTotal
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,2,"1,800",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,3,"2,600",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,4,"3,300",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,5,"9,048",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,6,"16,940",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,7,"24,245",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,8,"25,911",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,9,"22,115",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,10,"15,038",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,11,"3,890",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,12,"1,800",Acadia NP,ACAD,National Park,Northeast ,TRAFFIC COUNT AT SCHOODIC,2021,"128,637"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,1,"1,502",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,2,"1,715",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,3,"1,694",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,4,"2,473",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,5,"2,138",Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,TRAFFIC COUNT AT DRY RUN ROAD TRAILHEAD,2021,"25,872"
